ducc_info,test_flag,ba_abbreviation
"{""clientName"":""越南客户-工采国际测试1"",""clientCode"":""hRvDgUX263Y2FuWbVzB8"",""briefCode"":""VN-ISC1"",""contractCode"":""ISPG-20221115112609"",""pin"":""工采国际测试1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""stations"":[0],""saleCurrency"":""VND"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""excludeDefaultVatFlag"":false,""shippingMark"":""GCGJCS"",""storeId"":24682489,""iopPin"":""广州晶东-A1"",""payType"":""1"",""tradeTerms"":""DAP"",""hoursOfAutoFinish"":120}",1,暂无
"{""clientName"":""泰国客户-caochuanV2"",""clientCode"":""yPpvH0qjoPodSR8M4LCb"",""contractCode"":""ISPG-20231116225656"",""pin"":""caochuan-V2"",""country"":""TH"",""openSubscribeFlag"":true,""companyType"":""2"",""taxCheckFlag"":false,""stations"":[1],""saleCurrency"":""THB"",""excludeDefaultVatFlag"":false,""tradeRoute"":10,""storeId"":24682489,""iopPin"":""广州晶东-A1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""shippingMark"":""JDITH-BYD"",""hoursOfAutoFinish"":3600,""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",1,暂无
"{""clientName"":""泰国客户-演示客户0129"",""clientCode"":""tPpvH0qjoPodSR8M4LCt"",""contractCode"":""ISPG-20231116666666"",""pin"":""caochuan-V3"",""country"":""TH"",""openSubscribeFlag"":true,""taxCheckFlag"":false,""saleCurrency"":""CNY"",""excludeDefaultVatFlag"":false,""tradeRoute"":2295,""storeId"":24688209,""iopPin"":""JDi_Thailand1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""wispOrderListShowStatus"":[1,2,3,4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""0""},""shippingMark"":""JDITH-BYD"",""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",1,暂无
"{""clientName"":""泰国比亚迪"",""clientCode"":""YBj0bMz4MZhxZbJoqx3t"",""contractCode"":""ISPG-20240130094728"",""ebsContractCode"":""EKA20240004785"",""pin"":""Bydauto2024"",""country"":""TH"",""openSubscribeFlag"":true,""taxCheckFlag"":false,""saleCurrency"":""CNY"",""accountMap"":{""bydauto"":""Bydauto2024"",""bydcomponent"":""Bydcomponent2024""},""excludeDefaultVatFlag"":true,""tradeRoute"":10,""storeId"":24682489,""iopPin"":""广州晶东-A1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""shippingMark"":""JDITH-BYD"",""orderMap"":{""closePriceConfirm"":""1""},""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",0,泰国 - 比亚迪
"{""clientName"":""泰国工业测试"",""clientCode"":""tBMOvkqOXVOHzhqHtLse"",""contractCode"":""ISPG-20240322145423"",""pin"":""bydtest001"",""country"":""TH"",""openSubscribeFlag"":true,""taxCheckFlag"":false,""saleCurrency"":""THB"",""stations"":[0],""accountMap"":{""bydtest"":""bydtest001""},""excludeDefaultVatFlag"":false,""tradeRoute"":2295,""storeId"":24688209,""iopPin"":""JDi_Thailand1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""shippingMark"":""JDITH-BYD"",""orderMap"":{""closePriceConfirm"":""1""},""companyType"":""2"",""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",1,暂无
"{""clientName"":""泰国工业正式"",""clientCode"":""OqDcUfH46z7KIMesbtHQ"",""contractCode"":""ISPG-20240319111956"",""ebsContractCode"":""EKA20240004124"",""pin"":""Bydauto_th_local"",""country"":""TH"",""openSubscribeFlag"":true,""taxCheckFlag"":false,""saleCurrency"":""THB"",""stations"":[0,1],""accountMap"":{""bydcomponentTh"":""Bydcomponen_th-local"",""bydautoTh"":""Bydauto_th_local""},""excludeDefaultVatFlag"":false,""tradeRoute"":2295,""storeId"":24688209,""iopPin"":""JDi_Thailand1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""shippingMark"":""JDITH-BYD"",""orderMap"":{""closePriceConfirm"":""1""},""companyType"":""-99"",""checkThirdExtInfoKey"":""sapOrderNo"",""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",0,泰国 - 比亚迪（正式）
"{""clientName"":""正泰国际采购项目"",""clientCode"":""jtHa8Gi1QO3ByNpMvUwE"",""contractCode"":""ISPG-20240110183604"",""ebsContractCode"":""2024A0130829"",""pin"":""正泰国际采购"",""country"":""CN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""USD"",""stations"":[1],""excludeDefaultVatFlag"":true,""tradeRoute"":10,""storeId"":24682489,""iopPin"":""广州晶东-A1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""wispOrderListShowStatus"":[1,2,3,4,80,90,5,99],""shippingMark"":""ZTGJCG"",""orderMap"":{""closePriceConfirm"":""0""},""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",0,其他 - 正泰
"{""clientName"":""金门项目正式"",""clientCode"":""xsb9Oiq1Tx7jWveKg2MI"",""contractCode"":""ISPG-20240401105833"",""pin"":""wispadmin1"",""country"":""CN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""HKD"",""stations"":[1],""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""excludeDefaultVatFlag"":true,""tradeRoute"":2249,""storeId"":24688213,""iopPin"":""广州晶东-A1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""shippingMark"":""JDICN-HKGM"",""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",0,香港 - 金门
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""匈牙利测试客户"",""clientCode"":""NrhutrHmTgazXDFvJKmJ"",""contractCode"":""ISPG-20240328171833"",""ebsContractCode"":""ELC20240002652"",""pin"":""wispadmin1"",""country"":""HU"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""CNY"",""stations"":[0],""companyType"":""2"",""excludeDefaultVatFlag"":true,""tradeRoute"":2295,""storeId"":24688209,""sellerErp"":""wangxiaonan"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""wispOrderListShowStatus"":[1,2,3,4,80,90,5,99],""shippingMark"":""JDGYXYLTEST"",""orderMap"":{""closePriceConfirm"":""0""},""language"":{""zh"":""中文"",""en"":""English"",""hu"":""Magyar""},""countryNameMap"":{""zh"":""匈牙利站"",""en"":""Hungary station"",""hu"":""Magyarországi pályaudvar""}}",1,暂无
"{""clientName"":""全球氟化工工厂有限公司+MRO"",""clientCode"":""dmQ4M3dtONJx2GIrr4Ra"",""contractCode"":""ISPG-20240408182659"",""pin"":""全球氟06"",""country"":""CN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""CNY"",""stations"":[1],""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""excludeDefaultVatFlag"":true,""tradeRoute"":2249,""storeId"":24688213,""iopPin"":""广州晶东-A1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""shippingMark"":""JDI-GFC"",""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",0,沙特 - 全球氟
